iter	Passed	Remaining
765	7392	2258
766	7401	2248
767	7409	2238
768	7418	2228
769	7427	2218
770	7437	2208
771	7446	2199
772	7457	2189
773	7466	2180
774	7477	2170
775	7486	2161
776	7496	2151
777	7507	2142
778	7516	2132
779	7526	2122
780	7537	2113
781	7546	2103
782	7558	2094
783	7569	2085
784	7579	2075
785	7588	2066
786	7597	2056
787	7606	2046
788	7615	2036
789	7625	2026
790	7633	2017
791	7643	2007
792	7651	1997
793	7660	1987
794	7669	1977
795	7677	1967
796	7687	1957
797	7695	1948
798	7704	1938
799	7712	1928
800	7720	1918
801	7729	1908
802	7737	1898
803	7745	1888
804	7753	1878
805	7761	1868
806	7771	1858
807	7779	1848
808	7788	1838
809	7796	1828
810	7805	1819
811	7813	1809
812	7822	1799
813	7830	1789
814	7838	1779
815	7848	1769
816	7856	1759
817	7866	1750
818	7875	1740
819	7885	1730
820	7894	1721
821	7904	1711
822	7915	1702
823	7924	1692
824	7935	1683
825	7944	1673
826	7954	1663
827	7963	1654
828	7973	1644
829	7983	1635
830	7992	1625
831	8001	1615
832	8010	1606
833	8020	1596
834	8029	1586
835	8038	1576
836	8047	1567
837	8056	1557
838	8065	1547
839	8074	1538
840	8084	1528
841	8093	1518
842	8103	1509
843	8111	1499
844	8119	1489
845	8127	1479
846	8136	1469
847	8144	1459
848	8153	1450
849	8162	1440
850	8173	1431
851	8182	1421
852	8193	1411
853	8203	1402
854	8224	1394
855	8234	1385
856	8243	1375
857	8253	1365
858	8262	1356
859	8272	1346
860	8281	1336
861	8290	1327
862	8299	1317
863	8309	1307
864	8318	1298
865	8327	1288
866	8337	1278
867	8347	1269
868	8356	1259
869	8366	1250
870	8376	1240
871	8386	1231
872	8395	1221
873	8405	1211
874	8415	1202
875	8425	1192
876	8434	1182
877	8444	1173
878	8454	1163
879	8463	1154
880	8473	1144
881	8483	1134
882	8492	1125
883	8502	1115
884	8512	1106
885	8521	1096
886	8531	1086
887	8540	1077
888	8550	1067
889	8559	1057
890	8567	1048
891	8576	1038
892	8586	1028
893	8595	1019
894	8603	1009
895	8613	999
896	8622	990
897	8632	980
898	8642	970
899	8651	961
900	8661	951
901	8669	941
902	8678	932
903	8688	922
904	8700	913
905	8709	903
906	8718	893
907	8729	884
908	8739	874
909	8748	865
910	8758	855
911	8767	846
912	8778	836
913	8787	826
914	8796	817
915	8806	807
916	8816	798
917	8827	788
918	8837	778
919	8845	769
920	8855	759
921	8863	749
922	8873	740
923	8881	730
924	8891	720
925	8903	711
926	8912	701
927	8922	692
928	8932	682
929	8941	673
930	8950	663
931	8959	653
932	8968	644
933	8976	634
934	8985	624
935	8995	615
936	9006	605
937	9016	595
938	9026	586
939	9035	576
940	9045	567
941	9057	557
942	9071	548
943	9086	539
944	9102	529
945	9117	520
946	9129	510
947	9142	501
948	9155	492
949	9168	482
950	9178	472
951	9188	463
952	9198	453
953	9208	444
954	9218	434
955	9227	424
956	9237	415
957	9246	405
958	9258	395
959	9267	386
960	9276	376
961	9287	366
962	9298	357
963	9308	347
964	9319	337
965	9327	328
966	9339	318
967	9348	309
968	9357	299
969	9367	289
970	9375	280
971	9386	270
972	9395	260
973	9404	251
974	9413	241
975	9422	231
976	9431	222
977	9439	212
978	9449	202
979	9458	193
980	9468	183
981	9477	173
982	9485	164
983	9494	154
984	9502	144
985	9511	135
986	9519	125
987	9528	115
988	9536	106
989	9545	96
990	9553	86
991	9561	77
992	9569	67
993	9578	57
994	9586	48
995	9594	38
996	9602	28
997	9610	19
998	9618	9
999	9627	0
